Site_label,Plot,Plot_ID,Sampling_round,Bee_richness,Bee_abundance
CLV,8,2_CLV8,2,0,0
CP,1,2_CP1,2,2,2
CP,2,2_CP2,2,5,6
CP,3,2_CP3,2,0,0
CP,4,2_CP4,2,1,1
CP,5,2_CP5,2,1,1
CP,6,2_CP6,2,1,1
CP,7,2_CP7,2,2,2
CP,8,2_CP8,2,2,2
JED,1,2_JED1,2,8,11
JED,2,2_JED2,2,8,14
JED,3,2_JED3,2,8,18
JED,4,2_JED4,2,9,13
JED,5,2_JED5,2,12,31
JED,6,2_JED6,2,8,14
JED,7,2_JED7,2,8,26
JED,8,2_JED8,2,5,17
JL,1,2_JL1,2,2,2
JL,2,2_JL2,2,1,1
JL,3,2_JL3,2,4,5
JL,4,2_JL4,2,0,0
JL,5,2_JL5,2,4,6
JL,6,2_JL6,2,8,13
JL,7,2_JL7,2,6,16
JL,8,2_JL8,2,4,7
JP,1,2_JP1,2,8,15
JP,2,2_JP2,2,5,5
JP,3,2_JP3,2,8,58
JP,4,2_JP4,2,0,0
JP,5,2_JP5,2,2,4
JP,6,2_JP6,2,3,3
JP,7,2_JP7,2,6,6
JP,8,2_JP8,2,0,0
JPM,1,2_JPM1,2,9,15
JPM,2,2_JPM2,2,6,14
JPM,3,2_JPM3,2,8,10
JPM,4,2_JPM4,2,8,16
JPM,5,2_JPM5,2,4,6
JPM,6,2_JPM6,2,14,25
JPM,7,2_JPM7,2,10,17
JPM,8,2_JPM8,2,9,14
JR,1,2_JR1,2,2,2
JR,2,2_JR2,2,1,1
JR,3,2_JR3,2,1,2
JR,4,2_JR4,2,5,5
JR,5,2_JR5,2,4,4
JR,6,2_JR6,2,14,18
JR,7,2_JR7,2,2,2
JR,8,2_JR8,2,6,7
JRE,1,2_JRE1,2,6,6
JRE,2,2_JRE2,2,7,7
JRE,3,2_JRE3,2,5,9
JRE,4,2_JRE4,2,4,5
JRE,5,2_JRE5,2,2,2
JRE,6,2_JRE6,2,8,11
JRE,7,2_JRE7,2,7,8
JRE,8,2_JRE8,2,8,10
JS,1,2_JS1,2,8,15
JS,2,2_JS2,2,9,18
JS,3,2_JS3,2,5,11
JS,4,2_JS4,2,7,13
JS,5,2_JS5,2,9,12
JS,6,2_JS6,2,8,12
JS,7,2_JS7,2,10,17
JS,8,2_JS8,2,4,5
N52,1,2_N521,2,5,5
N52,2,2_N522,2,1,1
N52,3,2_N523,2,2,2
N52,4,2_N524,2,2,2
N52,5,2_N525,2,2,5
N52,6,2_N526,2,2,3
N52,7,2_N527,2,4,6
N52,8,2_N528,2,6,7
NGV,1,2_NGV1,2,2,4
NGV,2,2_NGV2,2,5,8
NGV,3,2_NGV3,2,3,3
NGV,4,2_NGV4,2,3,4
NGV,5,2_NGV5,2,3,4
NGV,6,2_NGV6,2,8,16
NGV,7,2_NGV7,2,6,7
NGV,8,2_NGV8,2,3,3
NPSC,1,2_NPSC1,2,2,2
NPSC,2,2_NPSC2,2,8,8
NPSC,3,2_NPSC3,2,9,9
NPSC,4,2_NPSC4,2,3,5
NPSC,5,2_NPSC5,2,9,11
NPSC,6,2_NPSC6,2,2,2
NPSC,7,2_NPSC7,2,6,13
NPSC,8,2_NPSC8,2,4,5
PBL,1,2_PBL1,2,8,11
PBL,2,2_PBL2,2,7,12
PBL,3,2_PBL3,2,6,10
PBL,4,2_PBL4,2,6,6
PBL,5,2_PBL5,2,5,5
PBL,6,2_PBL6,2,14,21
PBL,7,2_PBL7,2,12,275
PBL,8,2_PBL8,2,5,40
PPPM,1,2_PPPM1,2,4,4
PPPM,2,2_PPPM2,2,0,0
PPPM,3,2_PPPM3,2,3,3
PPPM,4,2_PPPM4,2,0,0
PPPM,5,2_PPPM5,2,0,0
PPPM,6,2_PPPM6,2,0,0
PPPM,7,2_PPPM7,2,0,0
PPPM,8,2_PPPM8,2,5,10
